Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Hepatitis B virus strain 420-11/gA,10407.12415,MW999601,fig|10407.124152.peg.3,,,PATRIC.10407.124152.MW999601.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-97/gB,10407.12415,MW999607,fig|10407.124153.peg.3,,,PATRIC.10407.124153.MW999607.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-68/gB,10407.12415,MW999608,fig|10407.124154.peg.3,,,PATRIC.10407.124154.MW999608.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-107/gB,10407.12416,MW999610,fig|10407.124155.peg.3,,,PATRIC.10407.124155.MW999610.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-93/gB,10407.12416,MW999609,fig|10407.124156.peg.3,,,PATRIC.10407.124156.MW999609.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-129/gB,10407.12416,MW999612,fig|10407.124157.peg.3,,,PATRIC.10407.124157.MW999612.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-131/gB,10407.12416,MW999613,fig|10407.124158.peg.3,,,PATRIC.10407.124158.MW999613.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-114/gB,10407.12416,MW999611,fig|10407.124159.peg.3,,,PATRIC.10407.124159.MW999611.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-19/gB,10407.12416,MW999614,fig|10407.124160.peg.3,,,PATRIC.10407.124160.MW999614.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-20/gB,10407.12416,MW999615,fig|10407.124161.peg.3,,,PATRIC.10407.124161.MW999615.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-120/gC,10407.12416,MW999618,fig|10407.124163.peg.3,,,PATRIC.10407.124163.MW999618.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-22/gB,10407.12416,MW999616,fig|10407.124164.peg.3,,,PATRIC.10407.124164.MW999616.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-95/gC,10407.12417,MW999622,fig|10407.124165.peg.3,,,PATRIC.10407.124165.MW999622.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-6/gC,10407.12417,MW999619,fig|10407.124167.peg.3,,,PATRIC.10407.124167.MW999619.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-80/gC,10407.12417,MW999621,fig|10407.124168.peg.3,,,PATRIC.10407.124168.MW999621.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-15/gC,10407.12417,MW999620,fig|10407.124169.peg.3,,,PATRIC.10407.124169.MW999620.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-108/gC,10407.12417,MW999624,fig|10407.124170.peg.3,,,PATRIC.10407.124170.MW999624.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-3/gC,10407.12417,MW999625,fig|10407.124171.peg.3,,,PATRIC.10407.124171.MW999625.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-81/gC,10407.12417,MW999626,fig|10407.124172.peg.3,,,PATRIC.10407.124172.MW999626.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1/S2,pre S1/S2 protein,
Hepatitis B virus strain 419-11/gC,10407.12417,MW999630,fig|10407.124173.peg.3,,,PATRIC.10407.124173.MW999630.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 420-10/gC,10407.12417,MW999629,fig|10407.124174.peg.3,,,PATRIC.10407.124174.MW999629.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 420-3/gC,10407.12418,MW999628,fig|10407.124175.peg.3,,,PATRIC.10407.124175.MW999628.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-138/gC,10407.12418,MW999627,fig|10407.124176.peg.3,,,PATRIC.10407.124176.MW999627.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-126/gD,10407.12418,MW999633,fig|10407.124182.peg.3,,,PATRIC.10407.124182.MW999633.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-43/gF,10407.12421,MW999663,fig|10407.124206.peg.3,,,PATRIC.10407.124206.MW999663.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-107/gF,10407.12421,MW999662,fig|10407.124207.peg.3,,,PATRIC.10407.124207.MW999662.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-99/gF,10407.12421,MW999664,fig|10407.124210.peg.3,,,PATRIC.10407.124210.MW999664.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-53/gF,10407.12421,MW999666,fig|10407.124211.peg.3,,,PATRIC.10407.124211.MW999666.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-56/gF,10407.12421,MW999667,fig|10407.124212.peg.3,,,PATRIC.10407.124212.MW999667.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-7/gF,10407.12421,MW999665,fig|10407.124213.peg.3,,,PATRIC.10407.124213.MW999665.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-61/gF,10407.12421,MW999668,fig|10407.124214.peg.3,,,PATRIC.10407.124214.MW999668.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-69/gF,10407.12422,MW999669,fig|10407.124215.peg.3,,,PATRIC.10407.124215.MW999669.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-97/gF,10407.12422,MW999671,fig|10407.124216.peg.3,,,PATRIC.10407.124216.MW999671.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-89/gF,10407.12422,MW999670,fig|10407.124217.peg.3,,,PATRIC.10407.124217.MW999670.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 420-9/gF,10407.12422,MW999676,fig|10407.124218.peg.3,,,PATRIC.10407.124218.MW999676.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-61/gH,10407.12422,MW999677,fig|10407.124219.peg.3,,,PATRIC.10407.124219.MW999677.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 420-5/gF,10407.12422,MW999674,fig|10407.124220.peg.3,,,PATRIC.10407.124220.MW999674.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-142/gF,10407.12422,MW999673,fig|10407.124221.peg.3,,,PATRIC.10407.124221.MW999673.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-102/gF,10407.12422,MW999672,fig|10407.124222.peg.3,,,PATRIC.10407.124222.MW999672.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 420-8/gF,10407.12422,MW999675,fig|10407.124224.peg.3,,,PATRIC.10407.124224.MW999675.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus 1,10407.12889,OR580945,fig|10407.128894.peg.2,,,PATRIC.10407.128894.OR580945.CDS.1.3221.fwd,PATRIC,CDS,1,3221,1203,+,,,,,400,HBsAg,surface antigen mRNA preS1/preS2/S,
Hepatitis B virus 2,10407.1289,OR580946,fig|10407.128895.peg.2,,,PATRIC.10407.128895.OR580946.CDS.1.3221.fwd,PATRIC,CDS,1,3221,1203,+,,,,,400,HBsAg,surface antigen mRNA preS1/preS2/S,
Hepatitis B virus A0004,10407.13031,DQ904357,fig|10407.13031.CDS.2,,,PATRIC.10407.13031.DQ904357.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,ABI73990.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus B0024,10407.13039,DQ922649,fig|10407.13039.CDS.2,,,PATRIC.10407.13039.DQ922649.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,ABI95452.1,400,preS1/preS2/S,preS1/S2/S antigen,
Hepatitis B virus C0955,10407.13053,DQ922650,fig|10407.13053.CDS.2,,,PATRIC.10407.13053.DQ922650.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,ABI95456.1,400,preS1/preS2/S,preS1/S2/S antigen,
Hepatitis B virus F0691,10407.13055,DQ922651,fig|10407.13055.CDS.2,,,PATRIC.10407.13055.DQ922651.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,ABI95460.1,400,preS1/preS2/S,preS1/S2/S antigen,
Hepatitis B virus C1248,10407.13058,DQ975272,fig|10407.13058.CDS.2,,,PATRIC.10407.13058.DQ975272.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,ABJ15806.1,400,preS1/preS2/S,preS1/S2/S antigen,
Hepatitis B virus e1013,10407.1307,DQ975273,fig|10407.13070.CDS.2,,,PATRIC.10407.13070.DQ975273.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,ABJ15810.1,400,preS1/preS2/S,preS1/S2/S antigen,
Hepatitis B virus E0113,10407.13079,DQ980547,fig|10407.13079.CDS.2,,,PATRIC.10407.13079.DQ980547.CDS.2763.837.fwd,PATRIC,CDS,2763,837,1203,+,,,,ABK13683.1,400,S,preS1/S2/S antigen,
Hepatitis B virus JPN_CH1,10407.1308,AB453979,fig|10407.13080.CDS.2,,,PATRIC.10407.13080.AB453979.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68745.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH2,10407.13086,AB453980,fig|10407.13086.CDS.2,,,PATRIC.10407.13086.AB453980.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68749.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH4,10407.13098,AB453982,fig|10407.13098.CDS.2,,,PATRIC.10407.13098.AB453982.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68757.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH5,10407.13102,AB453983,fig|10407.13102.CDS.2,,,PATRIC.10407.13102.AB453983.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68760.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH3,10407.13103,AB453981,fig|10407.13103.CDS.2,,,PATRIC.10407.13103.AB453981.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68753.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH6,10407.13116,AB453984,fig|10407.13116.CDS.2,,,PATRIC.10407.13116.AB453984.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68764.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH7,10407.13119,AB453985,fig|10407.13119.CDS.2,,,PATRIC.10407.13119.AB453985.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68768.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH8,10407.13123,AB453986,fig|10407.13123.CDS.2,,,PATRIC.10407.13123.AB453986.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68772.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH9,10407.13129,AB453987,fig|10407.13129.CDS.2,,,PATRIC.10407.13129.AB453987.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68776.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH10,10407.13133,AB453988,fig|10407.13133.CDS.2,,,PATRIC.10407.13133.AB453988.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68780.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus JPN_CH11,10407.13147,AB453989,fig|10407.13147.CDS.2,,,PATRIC.10407.13147.AB453989.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAG68784.1,400,PreS1-S,PreS1-S protein,
Hepatitis B virus 06-17,10407.1829,AB480036,fig|10407.18290.CDS.2,,,PATRIC.10407.18290.AB480036.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAJ15849.1,400,preS1-S,preS1-S protein,
Hepatitis B virus 06-23,10407.18309,AB480038,fig|10407.18309.CDS.2,,,PATRIC.10407.18309.AB480038.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAJ15853.1,400,preS1-S,preS1-S protein,
Hepatitis B virus 06-27,10407.18313,AB480039,fig|10407.18313.CDS.2,,,PATRIC.10407.18313.AB480039.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAJ15857.1,400,preS1-S,preS1-S protein,
Hepatitis B virus 06-44,10407.18319,AB480040,fig|10407.18319.CDS.2,,,PATRIC.10407.18319.AB480040.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAJ15861.1,400,preS1-S,preS1-S protein,
Hepatitis B virus 06-51,10407.18477,AB480041,fig|10407.18477.CDS.2,,,PATRIC.10407.18477.AB480041.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAJ15865.1,400,preS1-S,preS1-S protein,
Hepatitis B virus,10407.19025,AB549213,fig|10407.19025.CDS.2,,,PATRIC.10407.19025.AB549213.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,BAI81986.1,400,PreS1-S,PreS1-S proein,
Hepatitis B virus,10407.23649,HE981177,fig|10407.23649.CDS.2,,,PATRIC.10407.23649.HE981177.CDS.2884.835.fwd,PATRIC,CDS,2884,835,1203,+,,,,CCK86675.1,400,PreS1,PreS1 protein,
Hepatitis B virus,10407.23655,HE981181,fig|10407.23655.CDS.2,,,PATRIC.10407.23655.HE981181.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,CCK86702.1,400,PreS1,PreS1 protein,
Hepatitis B virus,10407.2366,HE981179,fig|10407.23660.CDS.2,,,PATRIC.10407.23660.HE981179.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,CCK86688.1,400,PreS1,PreS1 protein,
Hepatitis B virus,10407.23665,HE981182,fig|10407.23665.CDS.2,,,PATRIC.10407.23665.HE981182.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,CCK86709.1,400,PreS1,PreS1 protein,
Hepatitis B virus,10407.23678,HE981178,fig|10407.23678.CDS.2,,,PATRIC.10407.23678.HE981178.CDS.2884.835.fwd,PATRIC,CDS,2884,835,1203,+,,,,CCK86681.1,400,PreS1,PreS1 protein,
Hepatitis B virus,10407.23685,HE981183,fig|10407.23685.CDS.2,,,PATRIC.10407.23685.HE981183.CDS.2836.835.fwd,PATRIC,CDS,2836,835,1203,+,,,,CCK86716.1,400,PreS1,PreS1 protein,
Hepatitis B virus pre-core variant (adw),10407.2397,X97850,fig|10407.2397.CDS.2,,,PATRIC.10407.2397.X97850.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,CAA66435.1,400,,pre-S1 protein,
Hepatitis B virus wild type (adw),10407.2406,X97851,fig|10407.2406.CDS.2,,,PATRIC.10407.2406.X97851.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,CAA66445.1,400,,pre-S1 protein,
Hepatitis B virus P1.27239,10407.25158,AF090838,fig|10407.25158.CDS.4,,,PATRIC.10407.25158.AF090838.CDS.1481.2683.fwd,PATRIC,CDS,1481,2683,1203,+,,,,AAD40203.1,400,PreS1+PreS2+HBsAg,PreS1+PreS2+HBsAg,
Hepatitis B virus G2.27246,10407.25163,AF090839,fig|10407.25163.CDS.4,,,PATRIC.10407.25163.AF090839.CDS.1481.2683.fwd,PATRIC,CDS,1481,2683,1203,+,,,,AAD40207.1,400,PreS1+PreS2+HBsAg,PreS1+PreS2+HBsAg,
Hepatitis B virus G3.27270,10407.25169,AF090840,fig|10407.25169.CDS.4,,,PATRIC.10407.25169.AF090840.CDS.1481.2683.fwd,PATRIC,CDS,1481,2683,1203,+,,,,AAD40211.1,400,PreS1+PreS2+HBsAg,PreS1+PreS2+HBsAg,
Hepatitis B virus G4.27241,10407.25175,AF090841,fig|10407.25175.CDS.4,,,PATRIC.10407.25175.AF090841.CDS.1481.2683.fwd,PATRIC,CDS,1481,2683,1203,+,,,,AAD40215.1,400,PreS1+PreS2+HBsAg,PreS1+PreS2+HBsAg,
Hepatitis B virus G5.27295,10407.2518,AF090842,fig|10407.25180.CDS.4,,,PATRIC.10407.25180.AF090842.CDS.1481.2683.fwd,PATRIC,CDS,1481,2683,1203,+,,,,AAD40219.1,400,PreS1+PreS2+HBsAg,PreS1+PreS2+HBsAg,
Hepatitis B virus genotype C,10407.26,AB033551,fig|10407.260.CDS.2,,,PATRIC.10407.260.AB033551.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAA85350.1,400,preS1/preS2/S,preS1/preS2/S envelope,
Hepatitis B virus genotype C,10407.266,AB033550,fig|10407.266.CDS.2,,,PATRIC.10407.266.AB033550.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAA85383.1,400,preS1/preS2/S,preS1/preS2/S envelope protein,
Hepatitis B virus genotype B,10407.272,AB033554,fig|10407.272.CDS.2,,,PATRIC.10407.272.AB033554.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAA85340.1,400,preS1/preS2/S,preS1/preS2/S envelope,
Hepatitis B virus genotype C,10407.273,AB033553,fig|10407.273.CDS.2,,,PATRIC.10407.273.AB033553.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAA85358.1,400,preS1/preS2/S,preS1/preS2/S envelope,
Hepatitis B virus genotype C,10407.275,AB033552,fig|10407.275.CDS.2,,,PATRIC.10407.275.AB033552.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAA85354.1,400,preS1/preS2/S,preS1/preS2/S envelope,
Hepatitis B virus genotype B,10407.287,AB033555,fig|10407.287.CDS.2,,,PATRIC.10407.287.AB033555.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAA85344.1,400,preS1/preS2/S,preS1/pres2/S envelope,
Hepatitis B virus genotype C,10407.289,AB033556,fig|10407.289.CDS.2,,,PATRIC.10407.289.AB033556.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAA85366.1,400,pres1/preS2/S,preS1/preS2/S envelope,
Hepatitis B virus genotype C,10407.292,AB033557,fig|10407.292.CDS.2,,,PATRIC.10407.292.AB033557.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAA85370.1,400,preS1/preS2/S,preS1/preS2/S envelope,
Hepatitis B virus HBV-B1,10407.29565,AF282917,fig|10407.29565.CDS.2,,,PATRIC.10407.29565.AF282917.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAF87834.1,400,preS1/preS2/S,preS1/preS2/S envelope protein,
Hepatitis B virus HBV-B2,10407.29575,AF282918,fig|10407.29575.CDS.2,,,PATRIC.10407.29575.AF282918.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAF87838.1,400,preS1/preS2/S,preS1/preS2/S envelope protein,
Hepatitis B virus HB-JBDH1,10407.3279,AB179747,fig|10407.3279.CDS.2,,,PATRIC.10407.3279.AB179747.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAD90004.1,400,preS1/preS2/S,preS1/preS2/S envelope protein,
Hepatitis B virus,10407.33698,AF461043,fig|10407.33698.CDS.2,,,PATRIC.10407.33698.AF461043.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAL66347.1,400,,PreS1+PreS2+S,
Hepatitis B virus,10407.36421,AF533983,fig|10407.36421.CDS.2,,,PATRIC.10407.36421.AF533983.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAN15072.1,400,,pre-S1 protein,
Hepatitis B virus 19749,10407.39344,AJ627225,fig|10407.39344.CDS.2,,,PATRIC.10407.39344.AJ627225.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,CAF28861.1,400,S,preS1/preS2/S surface protein,
Hepatitis B virus 21077,10407.39357,AJ627227,fig|10407.39357.CDS.2,,,PATRIC.10407.39357.AJ627227.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,CAF28869.1,400,S,preS1/preS2/S surface protein,
Hepatitis B virus HB-JFH7-99,10407.3954,AB205152,fig|10407.3954.CDS.2,,,PATRIC.10407.3954.AB205152.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,BAE79773.1,400,preS1/preS2/S,preS1/preS2/S envelope,
Hepatitis B virus O64,10407.44689,AM184125,fig|10407.44689.CDS.2,,,PATRIC.10407.44689.AM184125.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,CAJ75779.1,400,envelope,preS1 large surface protein,
Hepatitis B virus N35,10407.44704,AM184126,fig|10407.44704.CDS.2,,,PATRIC.10407.44704.AM184126.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,CAJ75786.1,400,envelope,preS1 large surface protein,
Hepatitis B virus CAR204,10407.45204,AM494718,fig|10407.45204.CDS.1,,,PATRIC.10407.45204.AM494718.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,CAM58621.1,400,preS1,preS1 protein,
Hepatitis B virus B12,10407.495,S62754,fig|10407.495.CDS.1,,,PATRIC.10407.495.S62754.CDS.1.1203.fwd,PATRIC,CDS,1,1203,1203,+,,,,AAP13937.1,400,,preS1/preS2,
Hepatitis B virus,10407.49663,AY040627,fig|10407.49663.CDS.2,,,PATRIC.10407.49663.AY040627.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAK81689.1,400,S,pre-S1/pre-S2 protein,
Hepatitis B virus Tibet127,10407.50038,AY057948,fig|10407.50038.CDS.2,,,PATRIC.10407.50038.AY057948.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAL25952.1,400,S,preS1/preS2/S protein,
Hepatitis B virus Tibet705,10407.50039,AY057947,fig|10407.50039.CDS.2,,,PATRIC.10407.50039.AY057947.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAL25948.1,400,S,preS1/preS2/S protein,
Hepatitis B virus,10407.50993,AY123424,fig|10407.50993.CDS.2,,,PATRIC.10407.50993.AY123424.CDS.2850.837.fwd,PATRIC,CDS,2850,837,1203,+,,,,AAM92187.1,400,,preS1,
Hepatitis B virus,10407.51684,AY161140,fig|10407.51684.CDS.2,,,PATRIC.10407.51684.AY161140.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,AAO12556.1,400,,preS1,
Hepatitis B virus,10407.51687,AY161139,fig|10407.51687.CDS.2,,,PATRIC.10407.51687.AY161139.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,AAO12549.1,400,,preS1,
Hepatitis B virus,10407.51693,AY161141,fig|10407.51693.CDS.2,,,PATRIC.10407.51693.AY161141.CDS.2854.835.fwd,PATRIC,CDS,2854,835,1203,+,,,,AAO12563.1,400,,preS1,
Hepatitis B virus,10407.51714,AY161145,fig|10407.51714.CDS.2,,,PATRIC.10407.51714.AY161145.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAO12570.1,400,,preS1,
Hepatitis B virus,10407.51723,AY161146,fig|10407.51723.CDS.2,,,PATRIC.10407.51723.AY161146.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAO12605.1,400,,preS1,
Hepatitis B virus,10407.51742,AY161149,fig|10407.51742.CDS.2,,,PATRIC.10407.51742.AY161149.CDS.2853.835.fwd,PATRIC,CDS,2853,835,1203,+,,,,AAO12591.1,400,,preS1,
Hepatitis B virus Ia,10407.51842,AY167089,fig|10407.51842.CDS.2,,,PATRIC.10407.51842.AY167089.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAO41295.1,400,,preS1/preS2 surface protein,
Hepatitis B virus Ic,10407.51852,AY167091,fig|10407.51852.CDS.2,,,PATRIC.10407.51852.AY167091.CDS.2863.835.fwd,PATRIC,CDS,2863,835,1203,+,,,,AAO41300.1,400,,preS1/preS2 surface protein,
Hepatitis B virus IIb,10407.51864,AY167094,fig|10407.51864.CDS.2,,,PATRIC.10407.51864.AY167094.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAO41309.1,400,,preS1/preS2 surface protein,
Hepatitis B virus IIa,10407.51871,AY167093,fig|10407.51871.CDS.2,,,PATRIC.10407.51871.AY167093.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAO41306.1,400,,preS1/preS2 surface protein,
Hepatitis B virus IIc,10407.51878,AY167095,fig|10407.51878.CDS.2,,,PATRIC.10407.51878.AY167095.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAO41312.1,400,,preS1/preS2 surface protein,
Hepatitis B virus IIIa,10407.51882,AY167096,fig|10407.51882.CDS.2,,,PATRIC.10407.51882.AY167096.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAO41315.1,400,,preS1/preS2 surface protein,
